controller,n_crit,a,b,ci_low,ci_high,pre_saturation_points,bootstrap_successes,paper_n_crit
fixed,149.15705444079393,38.41149644472434,-16.641929570838542,27.176323007082445,154.4608478315668,6,981,134
actuated,162.97253130874233,41.13169995474903,-19.99999999999955,57.34539616156463,177.13648008376072,6,971,158
max_pressure,191.17596151621322,27.941843630700536,-19.999999999999996,70.41878129818232,197.87737187690465,7,998,188
qlearning,191.3592441983751,29.207020538837988,-19.999999999999996,35.62443736870139,195.2895126911606,7,998,189
pgql,188.05300004588793,27.556688842945885,-19.999999999999172,57.95760500064452,193.7751213338815,7,994,193
