controller,n,mwt_mean,mwt_sem,mean_in_system,completed_offered,completed_departed,departed_offered
fixed,50,23.583999999999996,0.9025238685671052,4.089925062447961,1.0,1.0,1.0
fixed,100,23.623,1.039228399663263,8.172522897585345,1.0,1.0,1.0
fixed,200,26.27,0.8386165856801172,16.841132389675273,1.0,1.0,1.0
fixed,300,29.75333333333333,0.6613627905625932,26.51640299750208,1.0,1.0,1.0
fixed,450,38.42311111111111,1.1514357805161997,44.34571190674438,1.0,1.0,1.0
fixed,600,60.062666666666665,1.3284933032537736,74.51215653621982,1.0,1.0,1.0
fixed,800,148.22471565304375,11.941319025652806,189.8976686094921,0.8408749999999999,0.8868922248863992,0.945125
fixed,1000,136.4830304922312,11.120670223306018,313.8127393838468,0.39189999999999997,0.47778506583385266,0.8163
fixed,1300,107.96241650256529,3.427846972238747,437.6986677768526,0.17407692307692307,0.2828866377585749,0.6110769230769231
fixed,1700,84.53195408441022,3.7256029511823403,515.9494587843463,0.07929411764705882,0.18245736724870182,0.43376470588235294
actuated,50,9.046,1.0111689604940741,3.5009991673605327,1.0,1.0,1.0
actuated,100,11.081,0.9957057240414403,7.183430474604497,1.0,1.0,1.0
actuated,200,21.491500000000002,1.3342536511306817,16.333388842631145,1.0,1.0,1.0
actuated,300,31.732666666666667,3.082815884508476,27.734554537885096,1.0,1.0,1.0
actuated,450,65.95866367713003,5.380740367040334,58.49017485428809,0.9991111111111112,1.0,0.9991111111111112
actuated,600,141.1512075574512,10.358276532179886,121.77352206494588,0.9768333333333332,0.9978051877380736,0.9789999999999999
actuated,800,241.84161681720767,15.281463937915856,237.02880932556204,0.70625,0.7848674379106371,0.8991250000000001
actuated,1000,192.07891975860292,15.072502431839535,347.66486261448796,0.3068,0.39675977756583947,0.7689999999999999
actuated,1300,124.68196766852182,8.154338539038495,457.6672772689425,0.12915384615384615,0.2212812404712002,0.5803846153846153
actuated,1700,90.26743572119572,8.314151283080077,523.4220649458784,0.06082352941176471,0.1459256209981313,0.4153529411764706
max_pressure,50,6.398000000000001,0.1848350616089923,3.3865112406328057,1.0,1.0,1.0
max_pressure,100,7.143000000000001,0.13639037111663466,6.825312239800167,1.0,1.0,1.0
max_pressure,200,8.2985,0.20771514950367323,13.803746877602,1.0,1.0,1.0
max_pressure,300,9.685666666666666,0.13768191109210856,21.282348043297254,1.0,1.0,1.0
max_pressure,450,14.254222222222221,0.3798528630020634,34.5413821815154,1.0,1.0,1.0
max_pressure,600,25.834833333333336,1.2616932442525772,55.64179850124896,1.0,1.0,1.0
max_pressure,800,76.36483673890196,4.881729103567325,135.96128226477936,0.9904999999999999,1.0,0.9904999999999999
max_pressure,1000,181.183020241988,12.165346937084657,270.3280599500416,0.8035,0.8783749696259024,0.9099
max_pressure,1300,102.98263460620755,4.688992121780625,429.29417152373026,0.2321538461538461,0.34613161773985096,0.669
max_pressure,1700,83.87767531097475,5.979776222012438,517.6626977518733,0.09794117647058824,0.21477693771882672,0.45376470588235296
qlearning,50,10.536000000000001,0.7771389122215465,3.5580349708576184,1.0,1.0,1.0
qlearning,100,9.446,0.39068373114039145,7.018151540383014,1.0,1.0,1.0
qlearning,200,10.2905,0.2626356263385115,14.21615320566195,1.0,1.0,1.0
qlearning,300,11.339666666666666,0.22526497429022407,21.728975853455456,1.0,1.0,1.0
qlearning,450,14.711333333333332,0.2995701447156213,34.84038301415487,1.0,1.0,1.0
qlearning,600,24.759666666666664,1.1044646711762867,55.17960033305578,1.0,1.0,1.0
qlearning,800,69.74755319307835,4.296443426605172,129.24446294754372,0.988875,1.0,0.988875
qlearning,1000,156.23832945541284,13.605271752872776,264.4024146544546,0.7322,0.8165735057673158,0.8908000000000001
qlearning,1300,94.22260497395123,4.0641826325292305,419.3652789342215,0.23830769230769228,0.3552690405855827,0.6676923076923077
qlearning,1700,72.54074160375178,3.188317226420354,513.3111573688593,0.10041176470588235,0.22016505557219584,0.4554705882352941
pgql,50,6.470000000000001,0.2231342396157275,3.379433805162365,1.0,1.0,1.0
pgql,100,7.066999999999998,0.1494735205089294,6.838634471273939,1.0,1.0,1.0
pgql,200,7.8775,0.16235463583703968,13.757951706910907,1.0,1.0,1.0
pgql,300,9.679666666666666,0.2176776697349422,21.305661948376354,1.0,1.0,1.0
pgql,450,13.934888888888889,0.24121708998185457,34.47926727726894,1.0,1.0,1.0
pgql,600,24.336333333333336,1.2920779464695955,54.63638634471274,1.0,1.0,1.0
pgql,800,71.2270417343751,3.3886284818330803,131.47127393838466,0.9895000000000002,1.0,0.9895000000000002
pgql,1000,149.70275169296355,16.192779475613868,260.14596169858453,0.8157,0.9005721388523158,0.9002000000000001
pgql,1300,92.13471718432827,4.335517159272706,418.7258118234804,0.2437692307692308,0.35931343721755593,0.6756153846153847
pgql,1700,77.75977461708852,4.758942519446532,510.87202331390506,0.10688235294117647,0.23058077640768224,0.462235294117647
